Product_Name,Price,Discount,Category
Banana - Yelakki,₹24.5,42% OFF,?q=fruits&nc=as
"Orange - Nagpur, Regular",₹401.1,20% OFF,?q=fruits&nc=as
Banana - Robusta,₹46,37% OFF,?q=fruits&nc=as
"Apple - Shimla, Regular",₹278,39% OFF,?q=fruits&nc=as
Mango Badami,₹113.48,24% OFF,?q=fruits&nc=as
Kesar Mango,₹193.98,20% OFF,?q=fruits&nc=as
"Mango Alphonso, Ratnagiri",₹495.34,20% OFF,?q=fruits&nc=as
Orange - Kinnow (Loose),₹85,24% OFF,?q=fruits&nc=as
Custard Apple,₹52.05,24% OFF,?q=fruits&nc=as
Guava (Loose),₹32,55% OFF,?q=fruits&nc=as
"Banana - Yelakki, Organically Grown",₹98,44% OFF,?q=fruits&nc=as
"Banana - Robusta, Small",₹53.37,20% OFF,?q=fruits&nc=as
Strawberry,₹45,45% OFF,?q=fruits&nc=as
Banana - Raw Green (Loose),₹13,67% OFF,?q=fruits&nc=as
Banana - Nendran,₹95,49% OFF,?q=fruits&nc=as
Banana - Poovan,₹82.19,20% OFF,?q=fruits&nc=as
Banana - Red,₹177.54,20% OFF,?q=fruits&nc=as
Pear - Beauty,₹170.74,24% OFF,?q=fruits&nc=as
Banana - Karpooravalli,₹29,44% OFF,?q=fruits&nc=as
"Banana - Nendran, Organically Grown",₹121.64,20% OFF,?q=fruits&nc=as
"Apple Shimla, Small",₹101.5,41% OFF,?q=fruits&nc=as
Sugar Palm Fruit,₹105.15,24% OFF,?q=fruits&nc=as
"Banana - Robusta, Small",₹21,37% OFF,?q=fruits&nc=as
Plum - Indian,₹129.09,24% OFF,?q=fruits&nc=as
Litchi,₹97.54,20% OFF,?q=fruits&nc=as
Banana - Raw Green (Loose),₹11,33% OFF,?q=fruits&nc=as
Kiwi - Green,₹132,26% OFF,?q=fruits&nc=as
Papaya,₹71.23,20% OFF,?q=fruits&nc=as
Cherry,₹210.41,20% OFF,?q=fruits&nc=as
Cherry - Kashmir,₹295.67,24% OFF,?q=fruits&nc=as
Banana Flower (Loose),₹42.68,24% OFF,?q=fruits&nc=as
Plum - Imported,₹650.68,24% OFF,?q=fruits&nc=as
Custard Apple - Premium,₹200.93,24% OFF,?q=fruits&nc=as
Banana - Yelakki,₹55.89,20% OFF,?q=fruits&nc=as
Dasheri Mango (Malihabadi),₹104.11,20% OFF,?q=fruits&nc=as
