Product_Name,Price,Discount,Category
Banana - Yelakki,24.0,42.0,fruits
"Orange - Nagpur, Regular",401.0,20.0,fruits
Banana - Robusta,46.0,37.0,fruits
"Apple - Shimla, Regular",278.0,39.0,fruits
Mango Badami,113.0,24.0,fruits
Kesar Mango,193.0,20.0,fruits
"Mango Alphonso, Ratnagiri",495.0,20.0,fruits
Orange - Kinnow (Loose),85.0,24.0,fruits
Custard Apple,52.0,24.0,fruits
Guava (Loose),32.0,55.0,fruits
"Banana - Yelakki, Organically Grown",98.0,44.0,fruits
"Banana - Robusta, Small",53.0,20.0,fruits
Strawberry,45.0,45.0,fruits
Banana - Raw Green (Loose),13.0,67.0,fruits
Banana - Nendran,95.0,49.0,fruits
Banana - Poovan,82.0,20.0,fruits
Banana - Red,177.0,20.0,fruits
Pear - Beauty,170.0,24.0,fruits
Banana - Karpooravalli,29.0,44.0,fruits
"Banana - Nendran, Organically Grown",121.0,20.0,fruits
"Apple Shimla, Small",101.0,41.0,fruits
Sugar Palm Fruit,105.0,24.0,fruits
"Banana - Robusta, Small",21.0,37.0,fruits
Plum - Indian,129.0,24.0,fruits
Litchi,97.0,20.0,fruits
Banana - Raw Green (Loose),11.0,33.0,fruits
Kiwi - Green,132.0,26.0,fruits
Papaya,71.0,20.0,fruits
Cherry,210.0,20.0,fruits
Cherry - Kashmir,295.0,24.0,fruits
Banana Flower (Loose),42.0,24.0,fruits
Plum - Imported,650.0,24.0,fruits
Custard Apple - Premium,200.0,24.0,fruits
Banana - Yelakki,55.0,20.0,fruits
Dasheri Mango (Malihabadi),104.0,20.0,fruits
Organic - Desi Banana,86.0,24.0,fruits
Cherry - Imported,348.0,24.0,fruits
Custard Apple Golden,59.0,24.0,fruits
Mango - Alphonso/Ratnagiri,295.3610248447205,27.0,fruits
Kesar Mango - Organically Grown,295.3610248447205,24.0,fruits
Banana - Yelakki,24.0,42.0,fruits
"Orange - Nagpur, Regular",401.0,20.0,fruits
Banana - Robusta,46.0,37.0,fruits
"Apple - Shimla, Regular",278.0,39.0,fruits
Mango Badami,113.0,24.0,fruits
Kesar Mango,193.0,20.0,fruits
"Mango Alphonso, Ratnagiri",495.0,20.0,fruits
Orange - Kinnow (Loose),85.0,24.0,fruits
Custard Apple,52.0,24.0,fruits
Guava (Loose),32.0,55.0,fruits
"Banana - Yelakki, Organically Grown",98.0,44.0,fruits
"Banana - Robusta, Small",53.0,20.0,fruits
Strawberry,45.0,45.0,fruits
Banana - Raw Green (Loose),13.0,67.0,fruits
Banana - Nendran,95.0,49.0,fruits
Banana - Poovan,82.0,20.0,fruits
Banana - Red,177.0,20.0,fruits
Pear - Beauty,170.0,24.0,fruits
Banana - Karpooravalli,29.0,44.0,fruits
"Banana - Nendran, Organically Grown",121.0,20.0,fruits
"Apple Shimla, Small",101.0,41.0,fruits
Sugar Palm Fruit,105.0,24.0,fruits
"Banana - Robusta, Small",21.0,37.0,fruits
Plum - Indian,129.0,24.0,fruits
Litchi,97.0,20.0,fruits
Banana - Raw Green (Loose),11.0,33.0,fruits
Kiwi - Green,132.0,26.0,fruits
Papaya,71.0,20.0,fruits
Cherry,210.0,20.0,fruits
Cherry - Kashmir,295.0,24.0,fruits
Banana Flower (Loose),42.0,24.0,fruits
Plum - Imported,650.0,24.0,fruits
Custard Apple - Premium,200.0,24.0,fruits
Banana - Yelakki,55.0,20.0,fruits
Dasheri Mango (Malihabadi),104.0,20.0,fruits
Organic - Desi Banana,86.0,24.0,fruits
Cherry - Imported,348.0,24.0,fruits
Custard Apple Golden,59.0,24.0,fruits
Mango - Alphonso/Ratnagiri,104.0,27.0,fruits
Kesar Mango - Organically Grown,86.0,24.0,fruits
Dasheri Mango (Malihabadi),348.0,20.0,fruits
Organic - Desi Banana,59.0,24.0,fruits
Cherry - Imported,52.0,24.0,fruits
Custard Apple Golden,96.0,24.0,fruits
Banana Stem (Loose),136.0,24.0,fruits
Peach - Indian,127.0,20.0,fruits
"Pear - Naspathi, Indian",71.0,24.0,fruits
Dasheri Mango,21.0,20.0,fruits
"Grapes - Green, Residue Free",35.0,36.0,fruits
Mango Leaves,238.0,24.0,fruits
Kinoow - Organically grown (Loose),131.0,24.0,fruits
Pomegranate - Regular,62.0,20.0,fruits
Sapota,74.0,20.0,fruits
Guava - Pink,81.0,24.0,fruits
Papaya - Small,49.0,24.0,fruits
"Orange - Nagpur, Small",45.0,26.0,fruits
Dragon Fruit (Loose),45.0,54.0,fruits
Muskmelon - Netted Small,65.0,46.0,fruits
Ber (Loose),51.0,24.0,fruits
Tender Coconut,46.0,22.0,fruits
Thai Guava - White Centre,41.0,20.0,fruits
Grapes - Bangalore Blue with Seed,38.0,43.0,fruits
Watermelon - Small,270.0,49.0,fruits
Coconut - Medium,220.0,57.0,fruits
"Pear - Green, Imported",270.0,24.0,fruits
Pomegranate,24.0,45.0,fruits
Mini Orange Imported,84.0,29.0,fruits
"Banana - Robusta, Organically Grown",75.0,39.0,fruits
Pineapple,183.0,24.0,fruits
Watermelon - Organically Grown (Loose),136.0,32.0,fruits
Totapuri Mango - Raw,256.0,20.0,fruits
"Avocado - Imported, Medium (Loose)",384.0,20.0,fruits
Fresh Figs,201.0,24.0,fruits
"Apple - Royal Gala, Regular",198.0,26.0,fruits
Pomegranate - Premium,31.0,20.0,fruits
Mosambi - Economy (Loose),310.0,20.0,fruits
Wood Apple - Kothbel (Loose),295.3610248447205,24.0,fruits
"Apple - Kinnaur, Regular",295.3610248447205,32.0,fruits
Apple - Royal Gala,295.3610248447205,27.0,fruits
Mango Badami - Organically Grown,295.3610248447205,0.0,fruits
Green Peas (Loose),15.0,54.0,vegetable
Golden Sweet Corn,49.0,18.0,vegetable
Spring Onion,71.0,20.0,vegetable
Potato - Fresh Crop,60.0,41.0,vegetable
Ladies' Fingers (Loose),13.0,59.0,vegetable
Carrot - Orange (Loose),9.0,45.0,vegetable
5 Mix Vegetable,133.0,34.0,vegetable
Winter Green Peas,179.0,11.0,vegetable
Cauliflower,42.0,20.0,vegetable
Methi - With roots,15.0,20.0,vegetable
"Methi/Venthaya Keerai - Cleaned, without roots",7.0,72.0,vegetable
Cucumber,9.0,56.0,vegetable
Capsicum - Green (Loose),51.0,35.0,vegetable
Tomato - Local,35.0,54.0,vegetable
Potato,36.0,42.0,vegetable
Coriander Leaves,104.0,20.0,vegetable
Potato - New Crop,39.0,21.0,vegetable
Ginger - Organically Grown (Loose),11.0,58.0,vegetable
Radish - White (Loose),20.0,64.0,vegetable
Beans - Haricot (Loose),52.0,54.0,vegetable
Carrot - Red,12.0,54.0,vegetable
Drumstick/Moringa,218.0,20.0,vegetable
"Chilli - Green, Organically Grown",44.0,45.0,vegetable
Ridge Gourd,23.0,40.0,vegetable
Onion (Loose),70.0,36.0,vegetable
Bottle Gourd (Loose),13.0,66.0,vegetable
Cabbage,13.0,47.0,vegetable
Palak - Organically Grown,88.0,21.0,vegetable
Brinjal - Varikatri (Loose),58.0,20.0,vegetable
Beetroot (Loose),12.0,48.0,vegetable
Drumstick Leaves,33.0,24.0,vegetable
Carrots - Grated,41.0,24.0,vegetable
Drumstick - Cut,89.0,24.0,vegetable
Drumstick - Organically Grown,21.0,24.0,vegetable
Carrot Red Halwa,39.0,24.0,vegetable
"Potato - Chandramukhi, Organically Grown",31.0,20.0,vegetable
Tomato - Hybrid (Loose),7.0,58.0,vegetable
Bitter Gourd (Loose),21.0,52.0,vegetable
Coccinia (Loose),48.0,43.0,vegetable
Brinjal - Bottle Shape (Loose),25.0,41.0,vegetable
Green Peas (Loose),15.0,54.0,vegetable
Golden Sweet Corn,49.0,18.0,vegetable
Spring Onion,71.0,20.0,vegetable
Potato - Fresh Crop,60.0,41.0,vegetable
Ladies' Fingers (Loose),13.0,59.0,vegetable
Carrot - Orange (Loose),9.0,45.0,vegetable
5 Mix Vegetable,133.0,34.0,vegetable
Winter Green Peas,179.0,11.0,vegetable
Cauliflower,42.0,20.0,vegetable
Methi - With roots,15.0,20.0,vegetable
"Methi/Venthaya Keerai - Cleaned, without roots",7.0,72.0,vegetable
Cucumber,9.0,56.0,vegetable
Capsicum - Green (Loose),51.0,35.0,vegetable
Tomato - Local,35.0,54.0,vegetable
Potato,36.0,42.0,vegetable
Coriander Leaves,104.0,20.0,vegetable
Potato - New Crop,39.0,21.0,vegetable
Ginger - Organically Grown (Loose),11.0,58.0,vegetable
Radish - White (Loose),20.0,64.0,vegetable
Beans - Haricot (Loose),52.0,54.0,vegetable
Carrot - Red,12.0,54.0,vegetable
Drumstick/Moringa,218.0,20.0,vegetable
"Chilli - Green, Organically Grown",44.0,45.0,vegetable
Ridge Gourd,23.0,40.0,vegetable
Onion (Loose),70.0,36.0,vegetable
Bottle Gourd (Loose),13.0,66.0,vegetable
Cabbage,13.0,47.0,vegetable
Palak - Organically Grown,88.0,21.0,vegetable
Brinjal - Varikatri (Loose),58.0,20.0,vegetable
Beetroot (Loose),12.0,48.0,vegetable
Drumstick Leaves,33.0,24.0,vegetable
Carrots - Grated,41.0,24.0,vegetable
Drumstick - Cut,89.0,24.0,vegetable
Drumstick - Organically Grown,21.0,24.0,vegetable
Carrot Red Halwa,39.0,24.0,vegetable
"Potato - Chandramukhi, Organically Grown",31.0,20.0,vegetable
Tomato - Hybrid (Loose),7.0,58.0,vegetable
Bitter Gourd (Loose),21.0,52.0,vegetable
Coccinia (Loose),48.0,43.0,vegetable
Brinjal - Bottle Shape (Loose),25.0,41.0,vegetable
Bitter Gourd (Loose),21.0,52.0,vegetable
Coccinia (Loose),48.0,43.0,vegetable
Brinjal - Bottle Shape (Loose),25.0,41.0,vegetable
Beetroot - Organically Grown (Loose),9.0,45.0,vegetable
Sweet Potato (Loose),49.0,31.0,vegetable
Curry Leaves,157.0,20.0,vegetable
Beans - Broad (Loose),83.0,26.0,vegetable
Beans - Cowpea (Loose),17.0,38.0,vegetable
Cucumber - English (Loose),9.0,54.0,vegetable
Spring Onion - With roots,15.0,20.0,vegetable
Parwal (Loose),220.0,53.0,vegetable
Mint - Organically Grown,73.0,24.0,vegetable
Chow Chow (Loose),53.0,24.0,vegetable
Mushrooms - Button,48.0,20.0,vegetable
"Palak - Cleaned, without roots",47.0,20.0,vegetable
Broccoli,17.0,57.0,vegetable
Sweet Corn (Loose),35.0,38.0,vegetable
Cabbage - Organically Grown (Loose),14.0,62.0,vegetable
"Capsicum - Green, Organically Grown (Loose)",51.0,47.0,vegetable
Cucumber - Organically Grown (Loose),12.0,60.0,vegetable
Garlic - Organically Grown (Loose),313.0,48.0,vegetable
Colocasia (Loose),124.0,20.0,vegetable
Carrot - Ooty (Loose),119.0,20.0,vegetable
Onion - Organically Grown (Loose),86.0,37.0,vegetable
Cauliflower - Organically Grown,19.0,58.0,vegetable
"Tomato - Local, Organically Grown (Loose)",29.0,34.0,vegetable
Amla (Loose),98.0,24.0,vegetable
